sku,new status,site change,proposed web action,what is web status??,,,,
920031,PND- Pending Discontinuation,everywhere,pending removal,Discontinued,,,,
250226,PND- Pending Discontinuation,everywhere,pending removal,Discontinued,,,,
250227,PND- Pending Discontinuation,everywhere,pending removal,Discontinued,,,,
250260,PND- Pending Discontinuation,everywhere,pending removal,Discontinued,,,,
250367,PND- Pending Discontinuation,everywhere,pending removal,Discontinued,,,,
250664,PND- Pending Discontinuation,everywhere,pending removal,Web Orderable Not Viewable,,,,
250699,PND- Pending Discontinuation,everywhere,pending removal,Web Orderable Not Viewable,,,,
250700,PND- Pending Discontinuation,everywhere,pending removal,Discontinued,,,,
250858,PND- Pending Discontinuation,everywhere,pending removal,Web Orderable Not Viewable,,,,
250861,PND- Pending Discontinuation,everywhere,pending removal,Discontinued,,,,
250895,PND- Pending Discontinuation,everywhere,pending removal,Discontinued,,,,
280178,PND- Pending Discontinuation,everywhere,pending removal,Discontinued,,,,
EI9016,PND- Pending Discontinuation,everywhere,pending removal,Discontinued,,,,
IM1004,PND- Pending Discontinuation,everywhere,pending removal,not listed,,,,
250211,PND- Pending Discontinuation,everywhere,pending removal,Web Orderable Not Viewable,,,,
250358,PND- Pending Discontinuation,everywhere,pending removal,Web Orderable Not Viewable,,,,
250378,PND- Pending Discontinuation,everywhere,pending removal,Web Orderable Not Viewable,,,,
250665,PND- Pending Discontinuation,everywhere,pending removal,Web Orderable Not Viewable,,,,
250860,PND- Pending Discontinuation,everywhere,pending removal,Web Orderable Not Viewable,,,,
280141,PND- Pending Discontinuation,everywhere,pending removal,Web Orderable Not Viewable,,,,
280177,PND- Pending Discontinuation,everywhere,pending removal,Web Orderable Not Viewable,,,,
466318,PND- Pending Discontinuation,everywhere,pending removal,Web Orderable Not Viewable,,,,
PAH052501,PND- Pending Discontinuation,everywhere,pending removal,Discontinued,,,,
PAH0525020,PND- Pending Discontinuation,everywhere,pending removal,Discontinued,,,,
415200,DIS- Discontinued,everywhere,remove from web,Blocked,,,,
441015G,DIS- Discontinued,everywhere,remove from web,Released,,,,
441075G,DIS- Discontinued,everywhere,remove from web,Released,,,,
44474G,DIS- Discontinued,everywhere,remove from web,Released,,,,
611622,DIS- Discontinued,everywhere,remove from web,Released,,,,
627122,DIS- Discontinued,everywhere,remove from web,Released,,,,
627500,DIS- Discontinued,everywhere,remove from web,Released,,,,
628320,DIS- Discontinued,everywhere,remove from web,Released,,,,
730030,DIS- Discontinued,everywhere,remove from web,Discontinued,,,,
816700,DIS- Discontinued,everywhere,remove from web,Released,,,,
817111,DIS- Discontinued,everywhere,remove from web,Released,,,,
CD31945A,DIS- Discontinued,everywhere,remove from web,Released,,,,
H17001,DIS- Discontinued,everywhere,remove from web,Discontinued,,,,
M30100,DIS- Discontinued,everywhere,remove from web,Released,,,,
PSC0063,DIS- Discontinued,everywhere,remove from web,Released,,,,
075103,PND- Pending Discontinuation,everywhere,pending removal,Discontinued,,,,
421100,PND- Pending Discontinuation,everywhere,pending removal,Released,,,,
44466G,PND- Pending Discontinuation,everywhere,pending removal,Released,,,,
44574G,PND- Pending Discontinuation,everywhere,pending removal,Released,,,,
44960G,PND- Pending Discontinuation,everywhere,pending removal,Released,,,,
616000,PND- Pending Discontinuation,everywhere,pending removal,Released,,,,
616540,PND- Pending Discontinuation,everywhere,pending removal,Discontinued,,,,
628311,PND- Pending Discontinuation,everywhere,pending removal,Released,,,,
629511,PND- Pending Discontinuation,everywhere,pending removal,Released,,,,
629540,PND- Pending Discontinuation,everywhere,pending removal,Released,,,,
PHC9285,PND- Pending Discontinuation,everywhere,pending removal,Released,,,,
PHC9434,PND- Pending Discontinuation,everywhere,pending removal,Released,,,,
PHC9474,PND- Pending Discontinuation,everywhere,pending removal,Released,,,,
PSC0061,PND- Pending Discontinuation,everywhere,pending removal,Released,,,,
SA1019,PND- Pending Discontinuation,everywhere,pending removal,Discontinued,,,,
44520G,PND- Pending Discontinuation,everywhere,pending removal,Released,,,,
817140,PND- Pending Discontinuation,everywhere,pending removal,Released,,,,
AHI0301,PND- Pending Discontinuation,everywhere,pending removal,Discontinued,,,,
CD3445A,PND- Pending Discontinuation,everywhere,pending removal,Released,,,,
CD348B,PND- Pending Discontinuation,everywhere,pending removal,Released,,,,
CHO0205,PND- Pending Discontinuation,everywhere,pending removal,Discontinued,,,,
PHC1473,PND- Pending Discontinuation,everywhere,pending removal,Released,,,,
PHC8015,PND- Pending Discontinuation,everywhere,pending removal,Released,,,,
PHC9344,PND- Pending Discontinuation,everywhere,pending removal,Released,,,,
PHF0013,PND- Pending Discontinuation,everywhere,pending removal,Blocked,,,,
PSC3011,PND- Pending Discontinuation,everywhere,pending removal,Released,,,,
441020G,DIS- Discontinued,everywhere,remove from web,Released,,,,
44238G,DIS- Discontinued,everywhere,remove from web,Released,,,,
616422,DIS- Discontinued,everywhere,remove from web,Discontinued,,,,
626522,DIS- Discontinued,everywhere,remove from web,Released,,,,
627120,DIS- Discontinued,everywhere,remove from web,Released,,,,
627511,DIS- Discontinued,everywhere,remove from web,Released,,,,
A14760,DIS- Discontinued,everywhere,remove from web,Discontinued,,,,
NON0527,DIS- Discontinued,everywhere,remove from web,not listed,,,,
PHC1081,DIS- Discontinued,everywhere,remove from web,Released,,,,
PHC9255,DIS- Discontinued,everywhere,remove from web,Discontinued,,,,
PHC9295,DIS- Discontinued,everywhere,remove from web,Released,,,,
PHC9385,DIS- Discontinued,everywhere,remove from web,Released,,,,
PMC0044,DIS- Discontinued,everywhere,remove from web,Blocked,,,,
PMC1055,DIS- Discontinued,everywhere,remove from web,Released,,,,
PSC0021,DIS- Discontinued,everywhere,remove from web,Released,,,,
44908,PND- Pending Discontinuation,everywhere,pending removal,"Released, listed as 449080",,,,
44998G,PND- Pending Discontinuation,everywhere,pending removal,Released,,,,
613140,PND- Pending Discontinuation,everywhere,pending removal,Released,,,,
616522,PND- Pending Discontinuation,everywhere,pending removal,Released,,,,
629522,PND- Pending Discontinuation,everywhere,pending removal,Released,,,,
730040,PND- Pending Discontinuation,everywhere,pending removal,Discontinued,,,,
816722,PND- Pending Discontinuation,everywhere,pending removal,Released,,,,
M30115,PND- Pending Discontinuation,everywhere,pending removal,Discontinued,,,,
PGC0064,PND- Pending Discontinuation,everywhere,pending removal,Released,,,,
PHC7094,PND- Pending Discontinuation,everywhere,pending removal,Discontinued,,,,
PHC9281,PND- Pending Discontinuation,everywhere,pending removal,Discontinued,,,,
RHTNFA28,PND- Pending Discontinuation,everywhere,pending removal,Discontinued,,,,
626500,DIS- Discontinued,everywhere,remove from web,Released,,,,
627111,DIS- Discontinued,everywhere,remove from web,Released,,,,
AHI0304,DIS- Discontinued,everywhere,remove from web,Discontinued,,,,
AHI1304,DIS- Discontinued,everywhere,remove from web,Discontinued,,,,
AHR1061,DIS- Discontinued,everywhere,remove from web,Released,,,,
NON0545,DIS- Discontinued,everywhere,remove from web,not listed,,,,
NON0548,DIS- Discontinued,everywhere,remove from web,not listed,,,,
PHC9224,DIS- Discontinued,everywhere,remove from web,Released,,,,
PHC9314,DIS- Discontinued,everywhere,remove from web,Released,,,,
PMC1013,DIS- Discontinued,everywhere,remove from web,Discontinued,,,,
SD0232,DIS- Discontinued,everywhere,remove from web,not listed,,,,
250986,DIS- Discontinued,everywhere,remove from web,not listed,,,,
12685012,DIS- Discontinued,everywhere,remove from web,"12685012S, discontinued",,,,
A13560SA,DIS- Discontinued,everywhere,remove from web,Discontinued,,,,
4476141,DIS- Discontinued,everywhere,remove from web,not listed,,,,
A14292,DIS- Discontinued,everywhere,remove from web,Released,,,,
A14298,DIS- Discontinued,everywhere,remove from web,Released,,,,
PV3780,DIS- Discontinued,everywhere,remove from web,Released,,,,
PV6334,DIS- Discontinued,everywhere,remove from web,Blocked,,,,
PV6335,DIS- Discontinued,everywhere,remove from web,Blocked,,,,
A10529,DIS- Discontinued,everywhere,remove from web,Released,,,,
A10537,DIS- Discontinued,everywhere,remove from web,Released,,,,
P3585,DIS- Discontinued,everywhere,remove from web,Released,,,,
P36005,DIS- Discontinued,everywhere,remove from web,Released,,,,
451096,DIS- Discontinued,everywhere,remove from web,Released,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
